"ID","Full name","First names","Surname now","Surname at birth","Gender","Deceased","Mother ID","Mother name","Father ID","Father name","Partner ID","Partner name","Ex-partner IDs","Birth year","Birth month","Birth day","Death year","Death month","Death day","Email","Website","Blog","Photo site","Home tel","Work tel","Mobile","Skype","Address","Other contact","Birth place","Death place","Burial place","Burial year","Burial month","Burial day","Profession","Company","Interests","Activities","Bio notes",
"ORHHA","... Leslie","...","","Leslie","F","","","","","","","","F3E4N","","","","","","","","","","","","","","","","","","","","","","","","","","","Henry Stewart is said to have married firstly ""the Lady Leslie"", who must have been divorced before March 1527/8, in which month he married Margaret Tudor",
"START","... Tailboys","...","","Tailboys","F","","","","TKK8X","Walter Tailboys","NCMF3","Hugh Tylney","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"H8HXE","... Howard","...","","Howard","M","Y","TPM6Z","Anne of York","RLFUD","Thomas Howard","","","","","","","1508","8","3","","","","","","","","","","","","","Lambeth","","","","","","","","",
"IZVKQ","... Stewart","...","","Stewart","F","","N2WTC","Margaret Tudor","HUZD8","James Stewart","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"DRC9I","... Stewart","...","","Stewart","F","","N2WTC","Margaret Tudor","HUZD8","James Stewart","","","","1508","7","15","","","","","","","","","","","","","","","","","","","","","","","","",
"NJTZ4","[Henry?] Tudor","[Henry?]","","Tudor","M","Y","A9WP4","Catherine of Aragon","Q2HCA","Henry Tudor","","","","1514","11","","1514","11","","","","","","","","","","","","","","","","","","","","","","",
"Y6GN2","Adrian Stokes","Adrian","","Stokes","M","Y","","","","","","","BZMHO","","","","1585","11","3","","","","","","","","","","","","","","","","","","","","","",
"S3UT2","Agnes Tylney","Agnes","","Tylney","F","Y","START","... Tailboys","NCMF3","Hugh Tylney","","","IIMAK","","","","","","","","","","","","","","","","","","","Thetford Abbey","1545","5","31","","","","","",
"Q61DI","Alexander Stewart","Alexander","","Stewart","M","Y","U7CZC","Margaret Boyd","HUZD8","James Stewart","","","","1493","","","1513","","","","","","","","","","","","","","Flodden","","","","","Archbishop of St Andrews","","","","Illegitimate",
"IORZP","Alexander Stewart","Alexander","","Stewart","M","Y","N2WTC","Margaret Tudor","HUZD8","James Stewart","","","","","","","","","","","","","","","","","","","","Stirling Castle","","Cambuskenneth","","","","","","","","",
"HAAWW","Alexander Gordon","Alexander","","Gordon","M","","","","","","","","R2L5D","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"UR0H0","Alice Montagu","Alice","","Montagu","F","","","","ND9PI","Thomas Montagu","GBA4O","Richard Neville","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"FCMVP","Andrew Stewart","Andrew","","Stewart","M","","","","","","VG3F2","Margaret Kennedy","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"W8FI9","Anne Browne","Anne","","Browne","F","Y","","","YXMD5","Anthony Browne","","","KH7AR","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"LZ0NG","Anne Welles","Anne","","Welles","F","Y","EFXX8","Cecily of York","E3BK6","John Welles","","","","","","","","","","","","","","","","","","","","","","Austin Friars, London","","","","","","","","",
