ID,Full name,First names,Surname now,Surname at birth,Gender,Deceased,Mother ID,Mother name,Father ID,Father name,Partner ID,Partner name,Ex-partner IDs,Birth year,Birth month,Birth day,Death year,Death month,Death day,Email,Website,Blog,Photo site,Home tel,Work tel,Mobile,Skype,Address,Other contact,Birth place,Death place,Burial place,Burial year,Burial month,Burial day,Profession,Company,Interests,Activities,Bio notes,
START,,                                       ,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BSJN7,1(N). K?gon,1(N). K?gon                            ,,,M,,,,R4DYI,93. Go-Fushimi,BQOEM,Kwan-shi-Naishinn?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APNQF,1. Jimmu,1. Jimmu                               ,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JWOI1,10. Sujin,10. Sujin                              ,,,M,,,,E67M6,9. Kaika,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T0HK8,100. Go-Komatsu,100. Go-Komatsu                        ,,,M,,,,ZGIVX,5(N). Go-Enyu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q536M,101. Sh?k?,101. Sh?k?                             ,,,M,,,,T0HK8,100. Go-Komatsu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V7ATX,102. Go-Hanazono,102. Go-Hanazono                       ,,,M,,,,N4WDP,Prince Sadafusa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HZZ2P,103. Go-Tsuchimikado,103. Go-Tsuchimikado                   ,,,M,,,,V7ATX,102. Go-Hanazono,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QTF53,104. Go-Shiwabara,104. Go-Shiwabara                      ,,,M,,,,HZZ2P,103. Go-Tsuchimikado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C4ALQ,105. Go-Nara,105. Go-Nara                           ,,,M,,,,QTF53,104. Go-Shiwabara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R8MQ4,106. Ogimachi,106. Ogimachi                          ,,,M,,,,C4ALQ,105. Go-Nara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIYCL,107. Go-Y?zei,107. Go-Y?zei                          ,,,M,,,,SK2Z3,Prince Masahito,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DLB3E,108. Go-Minoo,108. Go-Minoo                          ,,,M,,,,LIYCL,107. Go-Y?zei,LQYVL,Tokugawa Kazuko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZGTB,109. My?shu,109. My?shu                            ,,,F,,LQYVL,Tokugawa Kazuko,DLB3E,108. Go-Minoo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WD33K,11. Suinin,11. Suinin                             ,,,M,,,,JWOI1,10. Sujin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QG99X,110. Go-K?my?,110. Go-K?my?                          ,,,M,,,,DLB3E,108. Go-Minoo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VY8WN,111. Go-Sai,111. Go-Sai                            ,,,M,,,,DLB3E,108. Go-Minoo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UCVRE,112. Reigen,112. Reigen                            ,,,M,,,,DLB3E,108. Go-Minoo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
