ID,Full name,First names,Surname now,Surname at birth,Gender,Deceased,Mother ID,Mother name,Father ID,Father name,Partner ID,Partner name,Ex-partner IDs,Birth year,Birth month,Birth day,Death year,Death month,Death day,Email,Website,Blog,Photo site,Home tel,Work tel,Mobile,Skype,Address,Other contact,Birth place,Death place,Burial place,Burial year,Burial month,Burial day,Profession,Company,Interests,Activities,Bio notes,
U7HAD,Raymond,,,Raymond,M,,YIEVW,Orguilleuse,LH7PW,Bohemund III,START,Alice of Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
START,Alice of Armenia,,,Alice of Armenia,F,,,,,,U7HAD,Raymond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LJG1Y,Raymond-Roupen,,,Raymond-Roupen,M,Y,START,Alice of Armenia,U7HAD,Raymond,,,,1216,,,1219,,,,,,,,,,,,,,,,,,,,,,,,
W07AL,Plaisance of Gibelet,,,Plaisance of Gibelet,F,,,,,,WQ32C,Bohemund IV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WQ32C,Bohemund IV,,,Bohemund IV,M,Y,YIEVW,Orguilleuse,LH7PW,Bohemund III,W07AL,Plaisance of Gibelet,,,,,1223,,,,,,,,,,,,,,,,,,,,,,,,
NF7V9,Azzo V d'Este,,,Azzo V d'Este,M,,,,,,HQB32,Alice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X5C7Y,Sybilla,,,Sybilla,F,,,,,,,,LH7PW,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O6GW4,Bohemund V,,,Bohemund V,M,Y,W07AL,Plaisance of Gibelet,WQ32C,Bohemund IV,XUT3U,Alice of Jerusalem,JQHUR,,,,1251,,,,,,,,,,,,,,,,,,,,,,,,
XUT3U,Alice of Jerusalem,,,Alice of Jerusalem,F,Y,,,,,O6GW4,Bohemund V,,,,,1246,,,,,,,,,,,,,,,,,,,,,,,,
MBHY3,Plaisance,,,Plaisance,F,,JQHUR,Luciana of Segni,O6GW4,Bohemund V,U8B9S,Henry I of Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U8B9S,Henry I of Cyprus,,,Henry I of Cyprus,M,,,,,,MBHY3,Plaisance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I6RVU,Bohemund,,,Bohemund,M,Y,WNRB9,Sybilla of Armenia,HHUW8,Bohemund VI,,,,,,,1287,,,,,,,,,,,,,,,,,,,,,,,,
WNRB9,Sybilla of Armenia,,,Sybilla of Armenia,F,,,,,,HHUW8,Bohemund VI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HHUW8,Bohemund VI,,,Bohemund VI,M,Y,JQHUR,Luciana of Segni,O6GW4,Bohemund V,WNRB9,Sybilla of Armenia,,1237,,,1275,,,,,,,,,,,,,,,,,,,,,,,,
WRKYK,Henry of Antioch,,,Henry of Antioch,M,,W07AL,Plaisance of Gibelet,WQ32C,Bohemund IV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JQHUR,Luciana of Segni,,,Luciana of Segni,F,,,,,,,,O6GW4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HQB32,Alice,,,Alice,F,,AATLX,Constance Guiscard,IED4H,Raynald of Chatillon,NF7V9,Azzo V d'Este,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DFIGP,Bela III,,,Bela III,M,,,,,,VPWN1,Agnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IED4H,Raynald of Chatillon,,,Raynald of Chatillon,M,Y,,,,,AATLX,Constance Guiscard,,1124,,,1187,,,,,,,,,,,,,,,,,,,,,,,,
CKTLR,Raymond of Poiters,,,Raymond of Poiters,M,Y,,,,,,,AATLX,1099,,,1149,,,,,,,,,,,,,,,,,,,,,,,,
HT9P6,Baldwin II,,,Baldwin II,M,Y,,,,,,,,1119,,,1131,,,,,,,,,,,,,,,,,,,,,,,,
K75YX,Alice of Jerusalem,,,Alice of Jerusalem,F,Y,,,HT9P6,Baldwin II,K30V9,Bohemund II Guiscard,,1107,,,1131,,,,,,,,,,,,,,,,,,,,,,,,
UWSDQ,Constance,,,Constance,F,Y,,,,,Y6JH2,Bohemund I Guiscard,,1078,,,1125,,,,,,,,,,,,,,,,,,,,,,,,
BHE4E,Manuel I Commenus,,,Manuel I Commenus,M,,,,,,OIBJ4,Mary of Antioch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OIBJ4,Mary of Antioch,,,Mary of Antioch,F,Y,AATLX,Constance Guiscard,CKTLR,Raymond of Poiters,BHE4E,Manuel I Commenus,,1145,,,1182,,,,,,,,,,,,,,,,,,,,,,,,
VPWN1,Agnes,,,Agnes,F,Y,AATLX,Constance Guiscard,IED4H,Raynald of Chatillon,DFIGP,Bela III,,1154,,,1184,,,,,,,,,,,,,,,,,,,,,,,,
YIEVW,Orguilleuse,,,Orguilleuse,F,,,,,,LH7PW,Bohemund III,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LH7PW,Bohemund III,,,Bohemund III,M,Y,AATLX,Constance Guiscard,CKTLR,Raymond of Poiters,YIEVW,Orguilleuse,X5C7Y,1144,,,1201,,,,,,,,,,,,,,,,,,,,,,,,
AY16N,Philippa of Antioch,,,Philippa of Antioch,F,,AATLX,Constance Guiscard,CKTLR,Raymond of Poiters,NJLPZ,Andronicus I Comnenus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NJLPZ,Andronicus I Comnenus,,,Andronicus I Comnenus,M,,,,,,AY16N,Philippa of Antioch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y6JH2,Bohemund I Guiscard,Bohemund I,,Guiscard,M,Y,OWLXT,,WMFNA,Robert Guiscard,UWSDQ,Constance,,1058,,,1111,,,,,,,,,,,,,,,,,,,,,,,,
K30V9,Bohemund II Guiscard,Bohemund II,,Guiscard,M,Y,UWSDQ,Constance,Y6JH2,Bohemund I Guiscard,K75YX,Alice of Jerusalem,,1108,,,1131,,,,,,,,,,,,,,,,,,,,,,,,
AATLX,Constance Guiscard,Constance,,Guiscard,F,Y,K75YX,Alice of Jerusalem,K30V9,Bohemund II Guiscard,IED4H,Raynald of Chatillon,CKTLR,1127,,,1163,,,,,,,,,,,,,,,,,,,,,,,,
WMFNA,Robert Guiscard,Robert,,Guiscard,M,Y,,,,,,,OWLXT,1015,,,1085,,,,,,,,,,,,,,,,,,,,,,,,
OWLXT,,,,,,,,,,,,,WMFNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
